255 0xFF 0b11111111     895 0x37F 0b1101111111    1535 0x5FF 0b10111111111   2175 0x87F 0b100001111111  2815 0xAFF 0b101011111111  3455 0xD7F 0b110101111111
386 0x182 0b110000010   1026 0x402 0b10000000010  1666 0x682 0b11010000010   2306 0x902 0b100100000010  2946 0xB82 0b101110000010  3586 0xE02 0b111000000010
387 0x183 0b110000011   1027 0x403 0b10000000011  1667 0x683 0b11010000011   2307 0x903 0b100100000011  2947 0xB83 0b101110000011  3587 0xE03 0b111000000011
388 0x184 0b110000100   1028 0x404 0b10000000100  1668 0x684 0b11010000100   2308 0x904 0b100100000100  2948 0xB84 0b101110000100  3588 0xE04 0b111000000100
389 0x185 0b110000101   1029 0x405 0b10000000101  1669 0x685 0b11010000101   2309 0x905 0b100100000101  2949 0xB85 0b101110000101  3589 0xE05 0b111000000101
390 0x186 0b110000110   1030 0x406 0b10000000110  1670 0x686 0b11010000110   2310 0x906 0b100100000110  2950 0xB86 0b101110000110  3590 0xE06 0b111000000110
391 0x187 0b110000111   1031 0x407 0b10000000111  1671 0x687 0b11010000111   2311 0x907 0b100100000111  2951 0xB87 0b101110000111  3591 0xE07 0b111000000111
392 0x188 0b110001000   1032 0x408 0b10000001000  1672 0x688 0b11010001000   2312 0x908 0b100100001000  2952 0xB88 0b101110001000  3592 0xE08 0b111000001000
393 0x189 0b110001001   1033 0x409 0b10000001001  1673 0x689 0b11010001001   2313 0x909 0b100100001001  2953 0xB89 0b101110001001  3593 0xE09 0b111000001001
394 0x18A 0b110001010   1034 0x40A 0b10000001010  1674 0x68A 0b11010001010   2314 0x90A 0b100100001010  2954 0xB8A 0b101110001010  3594 0xE0A 0b111000001010
395 0x18B 0b110001011   1035 0x40B 0b10000001011  1675 0x68B 0b11010001011   2315 0x90B 0b100100001011  2955 0xB8B 0b101110001011  3595 0xE0B 0b111000001011
396 0x18C 0b110001100   1036 0x40C 0b10000001100  1676 0x68C 0b11010001100   2316 0x90C 0b100100001100  2956 0xB8C 0b101110001100  3596 0xE0C 0b111000001100
397 0x18D 0b110001101   1037 0x40D 0b10000001101  1677 0x68D 0b11010001101   2317 0x90D 0b100100001101  2957 0xB8D 0b101110001101  3597 0xE0D 0b111000001101
398 0x18E 0b110001110   1038 0x40E 0b10000001110  1678 0x68E 0b11010001110   2318 0x90E 0b100100001110  2958 0xB8E 0b101110001110  3598 0xE0E 0b111000001110
399 0x18F 0b110001111   1039 0x40F 0b10000001111  1679 0x68F 0b11010001111   2319 0x90F 0b100100001111  2959 0xB8F 0b101110001111  3599 0xE0F 0b111000001111
400 0x190 0b110010000   1040 0x410 0b10000010000  1680 0x690 0b11010010000   2320 0x910 0b100100010000  2960 0xB90 0b101110010000  3600 0xE10 0b111000010000
401 0x191 0b110010001   1041 0x411 0b10000010001  1681 0x691 0b11010010001   2321 0x911 0b100100010001  2961 0xB91 0b101110010001  3601 0xE11 0b111000010001
402 0x192 0b110010010   1042 0x412 0b10000010010  1682 0x692 0b11010010010   2322 0x912 0b100100010010  2962 0xB92 0b101110010010  3602 0xE12 0b111000010010
403 0x193 0b110010011   1043 0x413 0b10000010011  1683 0x693 0b11010010011   2323 0x913 0b100100010011  2963 0xB93 0b101110010011  3603 0xE13 0b111000010011
404 0x194 0b110010100   1044 0x414 0b10000010100  1684 0x694 0b11010010100   2324 0x914 0b100100010100  2964 0xB94 0b101110010100  3604 0xE14 0b111000010100
405 0x195 0b110010101   1045 0x415 0b10000010101  1685 0x695 0b11010010101   2325 0x915 0b100100010101  2965 0xB95 0b101110010101  3605 0xE15 0b111000010101
406 0x196 0b110010110   1046 0x416 0b10000010110  1686 0x696 0b11010010110   2326 0x916 0b100100010110  2966 0xB96 0b101110010110  3606 0xE16 0b111000010110
